,Comment,Tag(s),,
Customer Service Rep,get people here to fix stuff after i take time to do this ,Process,,
Account Coordinator,Give updates on tickets or comments made involving work orders in progress or not completed,Process,,
Vendor Admin,"I have put in many Work orders in, and found that the Vendors coming out to service will only do what is on work order rather than calling in and getting approval; if something was missed in work order and getting approval for completing other items that were missed when making work order. I am Dissatisfied with this service. I have to make a new work order and a new charge to the clinic to have them come out to facility and make appropriate repairs, when they could have added to work order in with approval for similar scope of work. I hope this issue could be addressed due companies are over charging DaVita for good customer service.",Process,,
Site Manager,I have worked for many brands and bar none the Team for FM Pilot is by FAR THE BEST! I am amazed at the very short response time and the professionalism of the teams that respond! Hat's off to your entire team!,Process,,
Site Manager,im not sure but need to be easyer on fallow-up,Process,,
Site Manager,improve communication ,Process,Request Codes,
Site Manager,"Include email communication with critical changes/status updates to the store.  For instance, we have a toilet leak.  The repairman came.  He ordered a part but didn't return on the date he stated.  Several days after that stated return date, FM Pilot updated the status.",Process,WO,
Site Manager,It takes far too many attempts to get our vendors to due what they are contracted to do.  IE. sprinkler turn ons.  We need more accountability from our vendors to do the scope of work they bid.   ,Process,,
Facility Manager,"It would be helpful to be able to know more about the status of various requests, what progress, or where in the process FM is. For example, we have submitted a number of requests over the years to have an old walk-behind forklift removed (it does not work), but have never seen any movement on it. Anyway, you have been very responsive to our various other requests that, and I do appreciate it.",Process,,
Vendor Admin,It would be nice / helpful  if I could get a response to my messages at the comment section.  When CBRE rep enters a comment / message I respond immediately but when I enter a comment its crickets. ,Process,"IVR, Invoices",
Site Manager,"Less down time with the app More info of the site on the work ticket (gate codes, managers, hazards...) Having the work tickets generated for the month instead of by the week. There is not enough time, if tickets don't generate or if there are issues like a wrong DNE, on a Monday morning to have tickets generated before techs are on site working. That adds hours of un paid office work to download all the pictures once the tickets are finally generated. Plus it allows us to plan our weeks out better     ",Process,Admin,
